transaction_amount,category,vendor_category,daily_tx_count,wallet_balance_pct,monthly_budget_used_pct,category_budget_used_pct,days_elapsed_in_month,spend_velocity,days_remaining_budget,is_weekend,hour_of_day,expenditure_level,duration_risk,behaviour_class
692,Other,Snack_Bar,11,41.2,85.2,62.9,21,642.0,15.4,1,10,High,Safe,Leakage
2262,Study,Canteen,2,73.3,70.5,142.8,30,651.0,10.0,0,20,Medium,Warning,Lifestyle
4084,Study,Pharmacy,3,89.0,126.1,68.7,3,3601.0,24.2,0,11,High,Safe,Lifestyle
264,Study,Canteen,3,5.5,93.1,124.3,1,943.0,13.4,1,15,High,Safe,Lifestyle
2768,Entertainment,Canteen,8,93.7,40.2,49.6,24,508.0,0.1,0,20,Low,Critical,Survival
2227,Other,Bookshop,5,53.6,119.2,51.9,13,1126.0,28.3,0,14,High,Safe,Lifestyle
2895,Food,Stationery,8,71.6,45.3,93.4,14,3384.0,7.7,0,9,Low,Warning,Survival
1695,Transport,Pharmacy,11,86.3,54.6,149.7,6,3309.0,24.9,1,13,Medium,Safe,Lifestyle
591,Food,Snack_Bar,11,49.4,22.3,82.5,5,1690.0,24.5,1,18,Low,Safe,Leakage
4714,Entertainment,Snack_Bar,6,84.3,118.0,141.1,29,2838.0,4.9,0,22,High,Warning,Lifestyle
4674,Study,Stationery,2,21.9,44.3,120.1,23,2275.0,14.2,0,9,Low,Safe,Lifestyle
3761,Transport,Pharmacy,11,20.1,41.1,121.4,5,3667.0,1.2,1,7,Low,Critical,Lifestyle
2478,Entertainment,Snack_Bar,4,67.5,120.4,71.0,27,697.0,10.6,1,10,High,Safe,Lifestyle
3299,Entertainment,Snack_Bar,9,87.7,106.7,64.1,4,3346.0,21.9,1,7,High,Safe,Lifestyle
400,Entertainment,Bookshop,4,89.8,26.9,36.9,21,1097.0,7.1,1,21,Low,Warning,Survival
3304,Transport,Canteen,5,66.2,102.3,145.0,12,1871.0,3.5,0,20,High,Critical,Lifestyle
4798,Transport,Snack_Bar,5,54.9,119.6,144.3,14,1172.0,15.2,0,9,High,Safe,Lifestyle
2654,Other,Pharmacy,10,36.5,19.4,114.6,27,2959.0,16.1,1,20,Low,Safe,Survival
3845,Other,Stationery,8,98.1,109.0,51.5,23,2874.0,20.3,1,10,High,Safe,Lifestyle
1004,Food,Bookshop,6,35.4,75.7,44.3,14,2418.0,22.8,0,8,Medium,Safe,Survival
2931,Transport,Pharmacy,10,75.7,90.3,148.4,11,2944.0,20.9,1,19,High,Safe,Lifestyle
2973,Transport,Bookshop,7,55.5,69.1,19.3,22,2738.0,25.4,1,12,Medium,Safe,Survival
1770,Transport,Canteen,6,62.8,93.7,128.1,10,3218.0,6.7,0,20,High,Warning,Lifestyle
2890,Other,Snack_Bar,5,42.4,14.1,59.8,10,1338.0,17.1,0,10,Low,Safe,Survival
4040,Entertainment,Pharmacy,5,96.7,101.5,68.6,29,2001.0,10.8,1,14,High,Safe,Lifestyle
1228,Study,Stationery,3,59.3,14.0,126.5,28,1031.0,28.9,1,18,Low,Safe,Lifestyle
702,Other,Canteen,7,94.1,64.6,22.7,30,2004.0,13.2,1,12,Medium,Safe,Leakage
4693,Transport,Canteen,10,5.7,28.1,59.6,27,2956.0,28.8,0,9,Low,Safe,Survival
1070,Other,Bookshop,5,59.4,108.8,143.3,9,2920.0,23.1,1,12,High,Safe,Lifestyle
4688,Food,Canteen,7,73.1,47.6,107.9,26,2983.0,21.6,0,6,Low,Safe,Survival
406,Transport,Pharmacy,2,75.8,64.5,115.7,2,1581.0,14.7,1,20,Medium,Safe,Lifestyle
1684,Food,Bookshop,9,91.0,61.5,116.1,14,2818.0,13.3,1,20,Medium,Safe,Lifestyle
1063,Transport,Canteen,8,5.4,102.7,18.5,7,1786.0,15.8,0,20,High,Safe,Lifestyle
2990,Other,Stationery,5,5.0,67.7,38.4,17,3806.0,8.8,0,8,Medium,Warning,Survival
763,Entertainment,Pharmacy,2,49.9,104.7,78.8,24,1702.0,27.1,1,10,High,Safe,Lifestyle
4391,Study,Stationery,6,7.8,18.8,61.5,20,2611.0,23.8,0,10,Low,Safe,Survival
1957,Food,Stationery,8,97.6,33.0,67.5,8,3126.0,24.0,1,21,Low,Safe,Survival
1878,Other,Bookshop,7,26.1,76.2,119.4,24,3672.0,13.0,0,15,Medium,Safe,Lifestyle
3442,Entertainment,Snack_Bar,8,49.9,123.7,12.1,20,2033.0,2.1,0,18,High,Critical,Lifestyle
4836,Other,Bookshop,4,10.8,19.0,102.5,4,1762.0,20.5,1,20,Low,Safe,Survival
1259,Food,Pharmacy,3,54.6,15.2,10.0,5,2005.0,11.2,0,13,Low,Safe,Survival
1922,Study,Pharmacy,7,41.1,28.8,18.8,13,1633.0,26.1,1,12,Low,Safe,Survival
3514,Other,Bookshop,2,9.2,86.9,67.2,7,2789.0,23.4,0,19,High,Safe,Lifestyle
3357,Transport,Snack_Bar,5,36.8,57.9,127.7,6,3765.0,4.4,0,11,Medium,Warning,Lifestyle
2825,Entertainment,Bookshop,7,42.2,109.1,30.3,17,941.0,18.1,1,13,High,Safe,Lifestyle
2929,Other,Pharmacy,1,99.0,18.6,87.6,6,2463.0,20.8,1,20,Low,Safe,Survival
1797,Entertainment,Snack_Bar,4,24.7,33.6,105.0,19,3642.0,17.0,0,22,Low,Safe,Survival
3260,Transport,Pharmacy,2,56.8,46.0,42.1,25,850.0,15.4,1,10,Low,Safe,Survival
2893,Study,Snack_Bar,6,98.8,85.2,81.7,3,2229.0,6.8,1,17,High,Warning,Lifestyle
3827,Study,Snack_Bar,1,80.2,92.2,137.6,9,3528.0,7.1,1,18,High,Warning,Lifestyle
1563,Transport,Bookshop,7,99.4,24.9,81.7,21,3652.0,23.0,1,8,Low,Safe,Survival
2181,Entertainment,Bookshop,3,97.0,123.3,32.0,28,2300.0,0.6,0,20,High,Critical,Lifestyle
1863,Other,Bookshop,1,51.5,50.9,97.9,26,587.0,23.4,1,12,Medium,Safe,Survival
1729,Transport,Snack_Bar,8,71.2,95.6,92.9,15,870.0,15.8,0,19,High,Safe,Lifestyle
2238,Food,Snack_Bar,7,15.5,72.9,13.8,8,2554.0,28.1,1,16,Medium,Safe,Survival
3502,Entertainment,Pharmacy,2,46.9,36.7,22.7,25,934.0,29.9,1,12,Low,Safe,Survival
2437,Study,Stationery,7,81.9,111.5,31.9,25,1023.0,19.9,1,16,High,Safe,Lifestyle
1506,Transport,Bookshop,3,53.0,108.2,29.1,23,3202.0,12.4,1,13,High,Safe,Lifestyle
4229,Study,Pharmacy,9,71.8,57.5,46.3,26,3127.0,14.3,0,15,Medium,Safe,Survival
2875,Entertainment,Pharmacy,8,75.8,80.6,73.6,15,3450.0,6.1,1,16,Medium,Warning,Survival
1482,Study,Canteen,5,29.1,40.9,62.0,1,870.0,3.0,1,6,Low,Critical,Survival
909,Transport,Bookshop,7,88.2,92.8,134.7,8,1194.0,17.4,0,15,High,Safe,Lifestyle
4944,Entertainment,Pharmacy,3,48.7,47.1,95.7,23,3415.0,24.2,1,12,Low,Safe,Survival
4613,Food,Canteen,1,25.0,111.3,132.7,4,3024.0,7.9,1,8,High,Warning,Lifestyle
3948,Transport,Bookshop,1,87.2,36.1,83.8,22,3321.0,12.6,1,9,Low,Safe,Survival
4979,Other,Snack_Bar,11,44.7,11.8,22.6,10,3964.0,16.6,1,11,Low,Safe,Survival
863,Transport,Canteen,2,76.3,42.2,74.9,16,3526.0,27.2,0,6,Low,Safe,Survival
2198,Entertainment,Snack_Bar,8,57.1,32.9,125.1,18,2322.0,4.2,0,9,Low,Warning,Lifestyle
3645,Transport,Stationery,1,41.3,71.0,37.2,4,1588.0,7.1,0,12,Medium,Warning,Survival
3943,Food,Stationery,11,81.9,34.4,22.8,8,2494.0,27.6,0,16,Low,Safe,Survival
1695,Food,Stationery,5,60.5,101.6,56.1,4,2735.0,1.2,1,11,High,Critical,Lifestyle
3504,Other,Stationery,9,42.1,39.0,64.4,10,1674.0,19.7,1,10,Low,Safe,Survival
3963,Study,Pharmacy,9,15.4,94.8,52.9,20,3198.0,19.2,0,17,High,Safe,Lifestyle
2053,Entertainment,Stationery,2,90.1,79.4,28.9,30,825.0,11.5,1,7,Medium,Safe,Survival
4859,Entertainment,Pharmacy,7,8.4,128.3,45.1,4,3228.0,14.0,1,14,High,Safe,Lifestyle
1491,Study,Pharmacy,11,87.0,130.0,105.5,16,612.0,25.6,0,19,High,Safe,Lifestyle
3781,Food,Bookshop,1,39.2,114.3,64.0,30,2243.0,4.9,0,17,High,Warning,Lifestyle
3657,Food,Pharmacy,3,65.7,101.2,98.6,12,3515.0,6.9,0,14,High,Warning,Lifestyle
1836,Transport,Pharmacy,6,92.6,56.4,85.1,10,803.0,15.4,1,6,Medium,Safe,Survival
3896,Other,Stationery,9,19.4,100.4,86.9,25,2312.0,12.3,1,12,High,Safe,Lifestyle
3199,Other,Pharmacy,10,58.9,124.8,44.8,11,1058.0,17.2,1,12,High,Safe,Lifestyle
3352,Other,Snack_Bar,2,77.6,12.8,83.0,2,3632.0,27.6,1,15,Low,Safe,Survival
898,Transport,Stationery,7,77.0,74.5,13.3,16,3413.0,27.5,1,7,Medium,Safe,Survival
2360,Other,Canteen,4,54.9,36.2,70.4,23,3769.0,6.9,1,9,Low,Warning,Survival
4297,Study,Stationery,2,64.4,76.9,90.2,19,3562.0,9.1,0,13,Medium,Warning,Survival
4937,Transport,Pharmacy,3,77.0,66.0,35.5,12,3078.0,4.9,0,19,Medium,Warning,Survival
1054,Study,Snack_Bar,6,84.9,79.1,45.9,4,1147.0,27.8,0,18,Medium,Safe,Survival
3674,Transport,Stationery,10,77.4,76.1,40.7,17,1559.0,11.9,0,21,Medium,Safe,Survival
1907,Other,Snack_Bar,9,38.6,125.2,19.9,12,2239.0,13.5,1,12,High,Safe,Lifestyle
2977,Study,Canteen,8,99.7,76.3,58.7,16,2561.0,24.1,0,15,Medium,Safe,Survival
1933,Study,Canteen,10,46.3,111.5,147.1,3,3238.0,15.4,0,16,High,Safe,Lifestyle
3710,Study,Bookshop,11,7.3,48.4,59.5,2,1294.0,3.6,0,16,Low,Critical,Survival
402,Transport,Bookshop,9,39.4,62.6,74.5,26,949.0,13.1,0,11,Medium,Safe,Leakage
3455,Entertainment,Stationery,4,17.1,66.4,101.4,7,2189.0,18.9,1,17,Medium,Safe,Survival
4418,Other,Bookshop,4,16.5,43.4,100.8,6,1052.0,21.6,0,15,Low,Safe,Survival
4696,Study,Snack_Bar,9,31.7,55.6,143.0,1,2928.0,19.4,1,14,Medium,Safe,Lifestyle
966,Entertainment,Bookshop,8,10.1,81.8,130.1,15,2515.0,3.6,0,11,Medium,Critical,Lifestyle
4589,Other,Snack_Bar,2,70.4,79.6,121.2,27,3094.0,9.1,1,14,Medium,Warning,Lifestyle
2527,Other,Bookshop,8,12.0,86.4,143.2,12,722.0,22.0,0,8,High,Safe,Lifestyle
3131,Study,Bookshop,1,24.3,52.2,42.3,13,3876.0,26.4,1,12,Medium,Safe,Survival
397,Study,Bookshop,9,13.8,47.9,96.4,8,500.0,1.4,1,8,Low,Critical,Leakage
2130,Transport,Pharmacy,9,11.0,83.4,134.2,9,1639.0,1.3,1,13,Medium,Critical,Lifestyle
3782,Entertainment,Pharmacy,8,30.4,25.9,97.4,1,2879.0,19.3,0,13,Low,Safe,Survival
808,Entertainment,Bookshop,11,59.3,40.4,146.8,5,658.0,16.4,0,18,Low,Safe,Lifestyle
3472,Study,Snack_Bar,5,96.6,15.1,24.0,7,792.0,4.7,0,7,Low,Warning,Survival
1347,Other,Stationery,5,88.2,18.7,71.5,18,768.0,16.4,1,19,Low,Safe,Survival
4482,Study,Canteen,3,88.2,39.2,146.8,22,2535.0,29.2,1,10,Low,Safe,Lifestyle
3597,Other,Pharmacy,5,21.7,12.3,63.1,8,3636.0,18.9,1,18,Low,Safe,Survival
2711,Other,Bookshop,4,30.2,39.4,113.5,24,2444.0,13.5,0,18,Low,Safe,Survival
1994,Study,Canteen,1,12.3,88.6,14.3,26,2612.0,24.8,0,8,High,Safe,Lifestyle
859,Food,Pharmacy,9,79.0,17.3,107.3,10,1711.0,6.4,1,19,Low,Warning,Survival
3011,Entertainment,Stationery,10,11.6,62.4,140.8,29,566.0,12.4,0,9,Medium,Safe,Lifestyle
1569,Other,Snack_Bar,4,57.9,119.6,63.6,8,576.0,15.8,1,15,High,Safe,Lifestyle
2186,Other,Bookshop,3,28.5,105.0,13.0,12,3609.0,15.1,0,11,High,Safe,Lifestyle
346,Food,Stationery,6,28.1,46.7,13.9,16,859.0,27.6,1,11,Low,Safe,Leakage
3419,Transport,Pharmacy,1,99.1,121.0,134.9,12,3999.0,8.8,1,7,High,Warning,Lifestyle
3111,Food,Bookshop,5,76.9,49.6,111.2,22,1075.0,1.7,1,7,Low,Critical,Survival
1934,Food,Canteen,7,84.5,18.7,24.9,22,2861.0,27.5,0,8,Low,Safe,Survival
2043,Other,Snack_Bar,2,59.3,129.3,17.6,27,3821.0,6.5,0,9,High,Warning,Lifestyle
688,Entertainment,Pharmacy,10,87.7,114.4,122.7,3,1768.0,11.4,1,9,High,Safe,Leakage
3176,Food,Snack_Bar,9,66.3,65.9,123.4,18,3071.0,15.9,0,16,Medium,Safe,Lifestyle
2159,Transport,Bookshop,6,94.9,90.0,26.9,5,1728.0,29.3,0,8,High,Safe,Lifestyle
2585,Study,Stationery,2,31.7,90.5,52.2,14,1567.0,16.1,1,22,High,Safe,Lifestyle
3119,Food,Snack_Bar,8,61.6,33.3,119.2,25,1206.0,13.4,0,14,Low,Safe,Lifestyle
4936,Food,Canteen,8,70.6,34.0,83.6,20,3373.0,17.5,0,19,Low,Safe,Survival
2002,Transport,Pharmacy,1,42.3,66.3,143.9,21,1401.0,29.1,0,7,Medium,Safe,Lifestyle
4261,Entertainment,Canteen,1,88.6,119.4,77.3,16,1491.0,24.5,0,19,High,Safe,Lifestyle
3569,Food,Snack_Bar,1,98.1,11.2,104.8,22,3996.0,5.1,1,8,Low,Warning,Survival
462,Food,Stationery,4,51.9,103.9,81.4,27,1646.0,24.1,0,7,High,Safe,Lifestyle
823,Entertainment,Stationery,4,42.1,16.9,142.0,6,1980.0,25.2,0,6,Low,Safe,Lifestyle
1216,Transport,Canteen,8,49.8,67.4,65.8,16,3965.0,20.7,0,9,Medium,Safe,Survival
3843,Food,Bookshop,1,86.0,86.5,42.2,20,1793.0,19.7,1,15,High,Safe,Lifestyle
2249,Entertainment,Bookshop,10,66.3,92.4,55.7,14,1782.0,13.2,1,20,High,Safe,Lifestyle
3923,Food,Stationery,3,9.3,17.0,129.4,20,3397.0,19.3,1,17,Low,Safe,Lifestyle
4748,Study,Canteen,11,56.5,60.2,79.7,24,1592.0,22.1,0,11,Medium,Safe,Survival
3308,Other,Canteen,1,6.6,80.1,59.6,5,1318.0,3.7,1,8,Medium,Critical,Survival
4290,Study,Canteen,9,79.0,17.9,86.2,14,1981.0,7.7,0,8,Low,Warning,Survival
2256,Food,Snack_Bar,10,36.2,26.2,28.7,30,2952.0,5.8,1,9,Low,Warning,Survival
3370,Transport,Bookshop,9,49.8,89.6,10.8,11,651.0,25.2,1,19,High,Safe,Lifestyle
1882,Other,Bookshop,7,80.9,72.6,49.3,21,1809.0,20.4,0,9,Medium,Safe,Survival
2455,Study,Snack_Bar,8,9.4,29.4,94.7,9,1712.0,13.5,1,13,Low,Safe,Survival
1354,Entertainment,Pharmacy,1,20.1,74.2,109.6,20,1357.0,24.8,1,6,Medium,Safe,Survival
4699,Transport,Snack_Bar,5,42.8,119.5,125.7,7,2790.0,21.5,1,20,High,Safe,Lifestyle
3391,Study,Canteen,2,26.8,11.9,139.7,5,1515.0,27.4,1,16,Low,Safe,Lifestyle
1896,Entertainment,Snack_Bar,1,37.1,87.1,67.7,29,2624.0,2.3,1,14,High,Critical,Lifestyle
4191,Food,Canteen,3,99.8,18.8,113.7,15,2265.0,15.3,0,8,Low,Safe,Survival
4923,Entertainment,Stationery,7,83.4,10.8,20.5,25,1260.0,21.2,0,21,Low,Safe,Survival
4882,Study,Canteen,1,89.0,28.1,18.1,13,1433.0,6.2,1,21,Low,Warning,Survival
1848,Study,Bookshop,11,94.0,60.7,27.5,12,1097.0,9.8,0,8,Medium,Warning,Survival
1645,Food,Snack_Bar,2,37.4,106.3,72.8,24,698.0,12.6,0,18,High,Safe,Lifestyle
4399,Entertainment,Canteen,2,33.2,43.8,39.6,15,2667.0,23.8,1,13,Low,Safe,Survival
4123,Entertainment,Pharmacy,4,27.2,85.1,50.2,24,2855.0,14.8,1,12,High,Safe,Lifestyle
453,Food,Stationery,3,83.9,59.3,100.7,26,1081.0,14.8,0,17,Medium,Safe,Survival
3383,Entertainment,Pharmacy,3,69.6,38.1,60.2,26,2654.0,12.9,1,20,Low,Safe,Survival
2757,Food,Pharmacy,10,27.4,71.7,88.0,19,3937.0,6.9,0,17,Medium,Warning,Survival
298,Transport,Pharmacy,5,40.8,105.7,67.7,25,760.0,27.7,0,11,High,Safe,Leakage
2400,Study,Stationery,3,53.1,109.9,33.7,24,2216.0,9.5,1,22,High,Warning,Lifestyle
3161,Transport,Stationery,11,55.2,111.6,20.4,19,3066.0,17.0,1,9,High,Safe,Lifestyle
4633,Other,Stationery,7,89.4,50.6,43.1,10,661.0,4.5,0,17,Medium,Warning,Survival
3977,Other,Stationery,5,41.2,105.2,18.1,17,3224.0,13.0,0,22,High,Safe,Lifestyle
3069,Other,Pharmacy,4,91.3,35.5,96.6,16,3928.0,27.1,1,10,Low,Safe,Survival
3434,Food,Bookshop,3,46.9,98.6,121.4,5,810.0,29.9,1,11,High,Safe,Lifestyle
3991,Entertainment,Bookshop,4,75.9,123.8,57.6,29,3378.0,10.9,1,20,High,Safe,Lifestyle
1156,Transport,Stationery,2,93.4,11.6,64.2,4,1825.0,4.6,1,13,Low,Warning,Survival
4267,Transport,Snack_Bar,1,91.2,62.8,124.3,24,1004.0,9.4,1,21,Medium,Warning,Lifestyle
360,Transport,Canteen,3,10.4,87.7,41.2,22,2226.0,9.8,1,18,High,Warning,Lifestyle
4693,Transport,Snack_Bar,11,24.5,94.2,26.7,10,750.0,19.3,0,20,High,Safe,Lifestyle
1500,Other,Snack_Bar,2,50.3,31.1,80.2,21,2327.0,14.9,0,18,Low,Safe,Survival
4187,Transport,Snack_Bar,1,46.0,126.7,100.5,25,568.0,23.1,1,20,High,Safe,Lifestyle
1727,Entertainment,Bookshop,1,65.9,83.8,94.0,6,3050.0,21.0,0,7,Medium,Safe,Survival
1418,Other,Canteen,2,94.7,29.7,109.9,30,2208.0,7.5,0,12,Low,Warning,Survival
4696,Transport,Snack_Bar,9,15.7,12.5,17.9,29,2106.0,23.5,0,14,Low,Safe,Survival
4935,Food,Stationery,5,47.9,104.0,69.9,11,1187.0,25.4,0,12,High,Safe,Lifestyle
3304,Study,Bookshop,9,23.3,19.6,43.4,11,1764.0,18.0,0,14,Low,Safe,Survival
2935,Study,Stationery,8,89.9,26.9,116.3,27,1137.0,27.8,0,17,Low,Safe,Lifestyle
4755,Study,Stationery,11,96.6,79.0,132.2,16,3074.0,23.5,0,15,Medium,Safe,Lifestyle
1154,Other,Snack_Bar,6,50.5,82.4,49.4,14,1197.0,17.9,0,15,Medium,Safe,Survival
